FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
199404,11,1715,1006519,10333134,"D","04/11/1994 17:15:00",,"",""
199404,15,1030,1006522,10349787,"D","04/15/1994 10:30:00",,"",""
199404,15,1201,1006523,10337147,"D","04/15/1994 12:01:00",,"",""
199404,16,111,1006524,10347036,"D","04/16/1994 01:11:00",,"",""
199404,15,1556,1006525,10349981,"D","04/15/1994 15:56:00",,"",""
199404,15,1656,1006527,10351365,"D","04/15/1994 16:56:00",,"",""
199405,30,1818,1006528,10316830,"D","05/30/1994 18:18:00",,"",""
199405,29,715,1006529,10339433,"D","05/29/1994 07:15:00",,"",""
199406,25,1930,1006530,10332955,"D","06/25/1994 19:30:00",,"",""
199406,15,1542,1006531,10313980,"D","06/15/1994 15:42:00",,"",""
199406,27,635,1006532,10319040,"D","06/27/1994 06:35:00",,"",""
199406,27,215,1006533,10318914,"D","06/27/1994 02:15:00",,"",""
199406,28,1815,1006534,10329134,"D","06/28/1994 18:15:00",,"",""
199406,15,1430,1006535,10337398,"D","06/15/1994 14:30:00",,"",""
199406,28,2120,1006536,10353248,"D","06/28/1994 21:20:00",,"",""
199406,11,1320,1006537,10339754,"D","06/11/1994 13:20:00",,"",""
199407,4,111,1006538,10333928,"D","07/04/1994 01:11:00",,"",""
199408,28,1340,1006540,10337435,"D","08/28/1994 13:40:00",,"",""
199408,21,1400,1006541,10335890,"D","08/21/1994 14:00:00",,"",""
199409,25,1530,1006542,10340634,"D","09/25/1994 15:30:00",,"",""
199411,15,0,1006544,10317917,"D","11/15/1994 00:00:00",,"",""
199411,5,255,1006545,10353262,"D","11/05/1994 02:55:00",,"",""
199411,27,1430,1006546,10349029,"D","11/27/1994 14:30:00",,"",""
199411,1,1511,1006548,10345907,"D","11/01/1994 15:11:00",,"",""
199411,1,1625,1006549,10335655,"D","11/01/1994 16:25:00",,"",""
