FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
199203,9,2200,1006461,9980461,"D","03/09/1992 22:00:00",,"",""
199204,20,1545,1006464,9999200,"D","04/20/1992 15:45:00",,"",""
199206,13,1625,1006466,10043063,"D","06/13/1992 16:25:00",,"",""
199206,16,1606,1006467,10047270,"D","06/16/1992 16:06:00",,"",""
199206,17,1848,1006468,10055393,"D","06/17/1992 18:48:00",,"",""
199206,1,1640,1006469,10156512,"D","06/01/1992 16:40:00",,"",""
199207,5,1230,1006470,9982755,"D","07/05/1992 12:30:00",,"",""
199207,15,1530,1006471,10115202,"D","07/15/1992 15:30:00",,"",""
199207,13,1405,1006472,10027323,"D","07/13/1992 14:05:00",,"",""
199208,29,1910,1006475,10162791,"D","08/29/1992 19:10:00",,"",""
199209,9,2000,1006476,10096190,"D","09/09/1992 20:00:00",,"",""
199210,3,840,1006477,10001377,"D","10/03/1992 08:40:00",,"",""
199211,22,29,1006480,10062527,"D","11/22/1992 00:29:00",,"",""
199211,22,136,1006481,10062534,"D","11/22/1992 01:36:00",,"",""
199211,22,215,1006483,10062536,"D","11/22/1992 02:15:00",,"",""
199211,22,1755,1006484,10109884,"D","11/22/1992 17:55:00",,"",""
199211,22,350,1006486,10120394,"D","11/22/1992 03:50:00",,"",""
199211,22,1552,1006487,10031845,"D","11/22/1992 15:52:00",,"",""
199211,22,1607,1006489,10010606,"D","11/22/1992 16:07:00",,"",""
199211,22,1210,1006490,10009523,"D","11/22/1992 12:10:00",,"",""
