FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
199305,7,1740,1006507,10346456,"D","05/07/1993 17:40:00",,"",""
199308,28,1600,1006508,10328873,"D","08/28/1993 16:00:00",,"",""
199308,13,1930,1006509,10317630,"D","08/13/1993 19:30:00",,"",""
199308,3,1536,1006511,10351397,"D","08/03/1993 15:36:00",,"",""
199309,12,1705,1006513,10316455,"D","09/12/1993 17:05:00",,"",""
199309,10,1300,1006514,10327986,"D","09/10/1993 13:00:00",,"",""
199310,18,1715,1006517,10353120,"D","10/18/1993 17:15:00",,"",""
199302,21,2000,1006491,10321087,"D","02/21/1993 20:00:00",,"",""
199302,22,20,1006492,10321081,"D","02/22/1993 00:20:00",,"",""
199302,21,1610,1006493,10349195,"D","02/21/1993 16:10:00",,"",""
199303,13,452,1006494,10317727,"D","03/13/1993 04:52:00",,"",""
199303,13,0,1006495,10320046,"D","03/13/1993 00:00:00",,"",""
199303,13,20,1006498,10318064,"D","03/13/1993 00:20:00",,"",""
199303,13,30,1006499,10320155,"D","03/13/1993 00:30:00",,"",""
199304,15,1735,1006501,10318842,"D","04/15/1993 17:35:00",,"",""
199305,12,1735,1006504,10318021,"D","05/12/1993 17:35:00",,"",""
199305,7,1705,1006505,10325366,"D","05/07/1993 17:05:00",,"",""
199305,14,1530,1006506,10316827,"D","05/14/1993 15:30:00",,"",""
