modelo,loss ponderada,mejor época,val_accuracy,val_balanced_acc,val_macro_f1,test_accuracy,test_balanced_acc,test_macro_f1,seg
mobilenet_v3_small,False,28,0.9613733905579399,0.9621566832973135,0.9585223223854519,0.9699570815450643,0.9722360934548202,0.9720791227856418,2.4
mobilenet_v3_small,True,39,0.9605150214592275,0.9656845873515605,0.9559824529603453,0.9721030042918455,0.9761450913609868,0.9726243272213335,2.3
mobilenet_v3_large,False,24,0.9656652360515021,0.9612579507203007,0.963317370293185,0.9686695278969957,0.9705326859018155,0.9703303402864747,2.7
mobilenet_v3_large,True,4,0.959656652360515,0.9603338381789353,0.960343070810027,0.9643776824034335,0.9672501888381263,0.9652521966631569,2.7
efficientnet_b0,False,32,0.9656652360515021,0.9632200308381178,0.964591811245034,0.9660944206008584,0.9671650546536058,0.968337437393126,3.0
efficientnet_b0,True,43,0.9660944206008584,0.967862865835862,0.9667059206984939,0.9656652360515021,0.9667257174724687,0.9681575200008681,3.0
resnet18,False,19,0.940343347639485,0.9392897544530764,0.9378454933401061,0.9407725321888412,0.9436499521457967,0.9429002685936985,2.3
resnet18,True,16,0.9416309012875537,0.9455477585825063,0.940034211362289,0.9416309012875537,0.9451161567457618,0.9403997903751798,2.3
