corrida,modelo,augmentation,params entrenables (M),mejor época,val macro-F1,test accuracy,test balanced acc,test macro-F1,min,linear probe test macro-F1 (nb 02)
mnv3s_noaug,mobilenet_v3_small,False,1.39,5,0.9849326508912589,0.9944206008583691,0.9946889694600103,0.9947154674431165,8.9,0.9720791227856418
mnv3s_aug,mobilenet_v3_small,True,1.39,7,0.9901591601510055,0.9918454935622317,0.9929637148048773,0.9924398852345934,8.4,0.9720791227856418
effb0_noaug,efficientnet_b0,False,3.17,5,0.993869260886587,0.9927038626609442,0.9940141335035182,0.9931879279538689,25.7,0.968337437393126
effb0_aug,efficientnet_b0,True,3.17,8,0.994854535480295,0.9909871244635193,0.99103334688038,0.9914237929751047,28.1,0.968337437393126
