FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
197801,7,1605,1005983,9980108,"D","01/07/1978 16:05:00",,"",""
197801,26,110,1005984,10152145,"D","01/26/1978 01:10:00",,"",""
197805,26,2219,1005988,10128722,"D","05/26/1978 22:19:00",,"",""
197806,25,1210,1005990,10003284,"D","06/25/1978 12:10:00",,"",""
197807,31,1130,1005992,10088807,"D","07/31/1978 11:30:00",,"",""
197807,23,1505,1005993,10118045,"D","07/23/1978 15:05:00",,"",""
197807,5,205,1005995,10053687,"D","07/05/1978 02:05:00",,"",""
197808,29,630,1005996,10063970,"D","08/29/1978 06:30:00",,"",""
197812,3,325,1005999,9982360,"D","12/03/1978 03:25:00",,"",""
