FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
197404,3,1625,1005832,10124280,"D","04/03/1974 16:25:00",,"",""
197404,3,1830,1005833,10124291,"D","04/03/1974 18:30:00",,"",""
197404,3,2015,1005839,10124311,"D","04/03/1974 20:15:00",,"",""
197404,1,1910,1005843,10124040,"D","04/01/1974 19:10:00",,"",""
197404,3,1305,1005844,10124050,"D","04/03/1974 13:05:00",,"",""
197404,3,1430,1005845,10124053,"D","04/03/1974 14:30:00",,"",""
197404,3,1448,1005846,10009052,"D","04/03/1974 14:48:00",,"",""
197404,3,1335,1005848,10017143,"D","04/03/1974 13:35:00",,"",""
197404,3,1350,1005849,10017146,"D","04/03/1974 13:50:00",,"",""
197404,3,1400,1005851,10017150,"D","04/03/1974 14:00:00",,"",""
197404,3,1410,1005853,10017157,"D","04/03/1974 14:10:00",,"",""
197404,3,1425,1005854,10017161,"D","04/03/1974 14:25:00",,"",""
197404,3,1450,1005857,10017169,"D","04/03/1974 14:50:00",,"",""
197404,3,1545,1005860,10032300,"D","04/03/1974 15:45:00",,"",""
197404,3,1555,1005863,10032304,"D","04/03/1974 15:55:00",,"",""
197404,3,1705,1005866,10017186,"D","04/03/1974 17:05:00",,"",""
197404,3,1745,1005867,10017191,"D","04/03/1974 17:45:00",,"",""
197404,3,1745,1005869,10032319,"D","04/03/1974 17:45:00",,"",""
197404,3,1920,1005873,10032338,"D","04/03/1974 19:20:00",,"",""
197404,3,1330,1005875,10008462,"D","04/03/1974 13:30:00",,"",""
197404,3,1710,1005879,9993541,"D","04/03/1974 17:10:00",,"",""
197404,3,1805,1005880,9993547,"D","04/03/1974 18:05:00",,"",""
197404,3,1830,1005881,9993548,"D","04/03/1974 18:30:00",,"",""
197404,8,1715,1005883,9993568,"D","04/08/1974 17:15:00",,"",""
197404,1,1820,1005884,10031211,"D","04/01/1974 18:20:00",,"",""
197404,21,1555,1005886,10147958,"D","04/21/1974 15:55:00",,"",""
197404,21,1605,1005887,10147959,"D","04/21/1974 16:05:00",,"",""
197404,4,230,1005888,10145540,"D","04/04/1974 02:30:00",,"",""
197404,4,300,1005889,10149898,"D","04/04/1974 03:00:00",,"",""
197405,11,1531,1005892,10038618,"D","05/11/1974 15:31:00",,"",""
197405,12,430,1005895,9994580,"D","05/12/1974 04:30:00",,"",""
197406,23,1645,1005896,9981103,"D","06/23/1974 16:45:00",,"",""
197406,7,1130,1005899,10125424,"D","06/07/1974 11:30:00",,"",""
197406,20,1645,1005903,10013412,"D","06/20/1974 16:45:00",,"",""
197406,8,1640,1005904,10092950,"D","06/08/1974 16:40:00",,"",""
197410,10,1500,1005905,10081865,"D","10/10/1974 15:00:00",,"",""
197410,28,1640,1005907,10132080,"D","10/28/1974 16:40:00",,"",""
197410,28,1700,1005908,10132082,"D","10/28/1974 17:00:00",,"",""
197403,20,2000,1005813,10030417,"D","03/20/1974 20:00:00",,"",""
197404,3,1920,1005818,9976070,"D","04/03/1974 19:20:00",,"",""
197404,1,2140,1005821,9979395,"D","04/01/1974 21:40:00",,"",""
197404,3,1800,1005827,10087005,"D","04/03/1974 18:00:00",,"",""
197404,2,153,1005828,10089840,"D","04/02/1974 01:53:00",,"",""
197401,30,1,1005811,10000547,"D","01/30/1974 00:01:00",,"",""
197401,26,1700,1005812,9978238,"D","01/26/1974 17:00:00",,"",""
