FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
197101,15,1130,1005726,9996462,"D","01/15/1971 11:30:00",,"",""
197102,4,2015,1005727,9976288,"D","02/04/1971 20:15:00",,"",""
197103,10,200,1005741,10030912,"D","03/10/1971 02:00:00",,"",""
197103,12,1830,1005742,10135015,"D","03/12/1971 18:30:00",,"",""
197104,27,1925,1005743,10036053,"D","04/27/1971 19:25:00",,"",""
197104,27,1543,1005746,10011200,"D","04/27/1971 15:43:00",,"",""
197104,23,1730,1005747,9997572,"D","04/23/1971 17:30:00",,"",""
197105,9,2013,1005748,10048688,"D","05/09/1971 20:13:00",,"",""
197105,5,1755,1005749,10059255,"D","05/05/1971 17:55:00",,"",""
197105,6,1100,1005751,10006493,"D","05/06/1971 11:00:00",,"",""
197105,23,1745,1005752,10135116,"D","05/23/1971 17:45:00",,"",""
197106,24,1800,1005753,10013526,"D","06/24/1971 18:00:00",,"",""
197107,18,1630,1005754,10148953,"D","07/18/1971 16:30:00",,"",""
197112,14,2315,1005755,10055935,"D","12/14/1971 23:15:00",,"",""
197112,15,235,1005756,10055945,"D","12/15/1971 02:35:00",,"",""
