FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
197602,18,730,1005940,10050793,"D","02/18/1976 07:30:00",,"",""
197602,21,215,1005941,10057267,"D","02/21/1976 02:15:00",,"",""
197603,29,1525,1005943,9982292,"D","03/29/1976 15:25:00",,"",""
197603,20,2020,1005944,10048851,"D","03/20/1976 20:20:00",,"",""
197603,30,1340,1005945,10038677,"D","03/30/1976 13:40:00",,"",""
197603,26,1610,1005947,10058383,"D","03/26/1976 16:10:00",,"",""
197603,20,1815,1005948,10038667,"D","03/20/1976 18:15:00",,"",""
197603,20,1840,1005949,10038668,"D","03/20/1976 18:40:00",,"",""
197603,26,1500,1005950,10093327,"D","03/26/1976 15:00:00",,"",""
197603,12,1450,1005952,10019406,"D","03/12/1976 14:50:00",,"",""
197603,12,1550,1005953,10019416,"D","03/12/1976 15:50:00",,"",""
197604,20,2011,1005955,10033022,"D","04/20/1976 20:11:00",,"",""
197605,15,130,1005956,10111575,"D","05/15/1976 01:30:00",,"",""
197606,14,2010,1005960,10051440,"D","06/14/1976 20:10:00",,"",""
197607,11,1445,1005962,10117741,"D","07/11/1976 14:45:00",,"",""
197607,11,1300,1005963,10116890,"D","07/11/1976 13:00:00",,"",""
197608,12,1650,1005964,10001786,"D","08/12/1976 16:50:00",,"",""
197609,26,1830,1005965,10033916,"D","09/26/1976 18:30:00",,"",""
197609,26,1623,1005966,10016129,"D","09/26/1976 16:23:00",,"",""
197609,26,1655,1005967,10016130,"D","09/26/1976 16:55:00",,"",""
