FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
198504,5,458,1006187,10006638,"D","04/05/1985 04:58:00",,"",""
198504,28,2020,1006188,10143938,"D","04/28/1985 20:20:00",,"",""
198505,21,1325,1006190,10044717,"D","05/21/1985 13:25:00",,"",""
198505,21,1215,1006191,10044705,"D","05/21/1985 12:15:00",,"",""
198505,21,1250,1006192,10044711,"D","05/21/1985 12:50:00",,"",""
198505,21,1300,1006193,10044712,"D","05/21/1985 13:00:00",,"",""
198505,15,1950,1006194,10091277,"D","05/15/1985 19:50:00",,"",""
198505,31,1510,1006201,10115966,"D","05/31/1985 15:10:00",,"",""
198505,31,1715,1006206,10098104,"D","05/31/1985 17:15:00",,"",""
198506,8,2012,1006212,10055014,"D","06/08/1985 20:12:00",,"",""
198506,10,20,1006213,10030931,"D","06/10/1985 00:20:00",,"",""
198507,14,1830,1006215,10099255,"D","07/14/1985 18:30:00",,"",""
198508,16,1000,1006216,9976515,"D","08/16/1985 10:00:00",,"",""
198508,17,1830,1006218,10021028,"D","08/17/1985 18:30:00",,"",""
198509,3,2010,1006220,10082423,"D","09/03/1985 20:10:00",,"",""
198512,31,1200,1006223,9977676,"D","12/31/1985 12:00:00",,"",""
