FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
197301,18,1415,1005769,10029829,"D","01/18/1973 14:15:00",,"",""
197303,31,1715,1005771,9996767,"D","03/31/1973 17:15:00",,"",""
197303,31,1815,1005772,9996769,"D","03/31/1973 18:15:00",,"",""
197303,10,140,1005773,10136387,"D","03/10/1973 01:40:00",,"",""
197303,15,200,1005775,10126471,"D","03/15/1973 02:00:00",,"",""
197304,20,1015,1005776,9984492,"D","04/20/1973 10:15:00",,"",""
197304,20,1730,1005777,10058166,"D","04/20/1973 17:30:00",,"",""
197304,27,315,1005778,10089183,"D","04/27/1973 03:15:00",,"",""
197305,27,1750,1005781,9977074,"D","05/27/1973 17:50:00",,"",""
197305,27,1900,1005783,9977080,"D","05/27/1973 19:00:00",,"",""
197305,27,1720,1005784,9977072,"D","05/27/1973 17:20:00",,"",""
197305,27,1315,1005788,10048176,"D","05/27/1973 13:15:00",,"",""
197305,9,1337,1005789,10054625,"D","05/09/1973 13:37:00",,"",""
197305,10,1540,1005790,10087068,"D","05/10/1973 15:40:00",,"",""
197305,26,1200,1005795,9999440,"D","05/26/1973 12:00:00",,"",""
197305,28,1520,1005796,9996810,"D","05/28/1973 15:20:00",,"",""
197306,24,1845,1005797,10112157,"D","06/24/1973 18:45:00",,"",""
197307,1,1715,1005799,10112165,"D","07/01/1973 17:15:00",,"",""
197309,25,1630,1005801,10020266,"D","09/25/1973 16:30:00",,"",""
197311,24,2000,1005803,9980014,"D","11/24/1973 20:00:00",,"",""
197311,27,1245,1005804,10053886,"D","11/27/1973 12:45:00",,"",""
197312,13,1503,1005810,10114448,"D","12/13/1973 15:03:00",,"",""
